name	lat	lng	desc	color	icon	categories	subcategory	image_file_name	image_file_size	image_file_hash	image_title	image_height	image_width	image_focal_x	image_focal_y	image_focal_w	image_focal_h	teaser_description	teaser_file_pk	teaser_file	in_person	in_person_radius	in_person_file_pk	in_person_file	in_person_duration	in_person_file_type	in_person_title
Point 11	45.0773490780417	-64.4959408840563	<p><b>Artist:</b> Jason Skinner with Crypt and Stella<br/><b>Mural Site:</b> 395 Main Street<br/><b>Year:</b> 2022</p><p>Artist Statement: Against a pastel background, with an exaggerated bright pallet, and loose brushwork, <i>Community Crossing</i> depicts local wildlife interacting as they cross the span of the mural. The micro interactions between the various species depicted, reflects the same small acts we do to connect with one another in our community that make it a positive, supporting and compassionate place to live. Two Canada geese casually talking about the weather, a coyote making sure the fox is crossing safely and a black bear overseeing it all are some of the animals you see.</p>	#f0602c	brush	Mural	Mural	community_crossing.jpg	245840	773d2d3dad44879e3346bbeed11f2a81608116cb	community crossing.jpg	757	1174	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 12	45.0768916017904	-64.4958713294253	<p><b>Artist:</b> Jaimie Peerless<br/><b>Mural Site:</b> 390 Main Street<br/><b>Year:</b> 2022</p><p>Artist Statement: After 2 plus years of planning, and a lot of help from the community, Jaimie Peerless was pleased to announce the celebration and reveal of her mural which honours the illustrious life and boxing career of local hero Bryan Gibson (Olympian, Coach, and Referee). Erected May 24th, 2022 in the Kentville Public Gardens. The 12 x 24 foot installation can be found on the West facing wall of the Kings Arms Pub by Lew Murphy&#x27;s (390 Main Street).</p>	#f0602c	brush	Mural	Mural	bryan_gibson.jpg	754280	339a9c14c71e1d81c51c88e2f2350700842572a6	bryan gibson.jpg	358	699	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 13	45.0779149189707	-64.4939343631268	<p><b>Artist:</b> Alan Syliboy<br/><b>Mural Site:</b> 37 Cornwallis Street<br/><b>Year:</b> 2021</p><p>Artist Statement: When asked what inspired him to paint the mural, Syliboy said he’s been incorporating the story of Little Thunder into his work for many years. The story resonates with him and has served as a source of artistic inspiration because it hasn’t been affected by other cultures.</p>	#f0602c	brush	Mural	Mural	alan_syliboy.jpg	691454	51e719a8172cc611e13f477256c2dab176931c72	alan syliboy.jpg	1440	1440	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 14	45.0766505679079	-64.4931805558095	<p><b>Artist:</b> Trackside Studios<br/><b>Mural Site:</b> 325 Main Street<br/><b>Year:</b> 2019</p><p>Artist Statement: The apple blossoms in the mural serve as a nod to when the front of the Cornwallis Inn was covered in vines and the entrance was a beautiful garden.</p>	#f0602c	brush	Mural	Mural	annapolisvalley.jpg	859828	26bb7eeb55bf0f852a340b7c520a08a8c903d172	annapolisvalley.jpg	1440	2560	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 15	45.0788703	-64.4959067	<p><b>Artist:</b> Edwin Hollett<br/><b>Mural Site:</b> Station Lane<br/><b>Year:</b> 2018</p><p>Artist Statement: The Dominion Atlantic Railway, Kentville (2011, exterior oil paint) is a 60 foot (18.3 metre) mural commemorating the Kentville train station. While this scene of a steam locomotive and its passenger cars pulling in to the station is from the 1930s, the DAR ran for 100 years from 1894 to 1994. Corporate headquarters were in London, UK, and then Montreal, but its operational headquarters were always in Kentville.</p>	#f0602c	brush	Mural	Mural	DAR_Mural.jpg	427298	2ec6b0c7a3ef3776c73938a15ec664e7c2997bdc	DAR Mural.jpg	1542	2048	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 16	45.0788467968528	-64.4955904071179	<p><b>Artist:</b> Edwin Hollett<br/><b>Mural Site:</b> Station Lane<br/><b>Year:</b> 2017</p><p>Artist Statement: You can find this piece on the opposite side of the warehouse wall showing the train station. The mural depicts Kentville as it was at various times over the past 150 years. The mural has 15 panels with 23 scenes of old-time Kentville; most of the scenes show buildings that have long since vanished.</p>	#f0602c	brush	Mural	Mural	memory_lane_3.jpg	641032	6fbd9eb62d15ee7e2117d52071b756af5c4b7ab8	memory lane 3.jpg	1542	2048	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 17	45.0773539210747	-64.4958575779937	<p><b>Artist:</b> Miyoshi Kondo<br/><b>Mural Site:</b> 395 Main Street<br/><b>Year:</b> 2018</p><p>Artist Statement: Artist Miyoshi Kondo created the mural, measuring eight feet by ten feet, to depict Kentville’s past and present, showcasing buildings that once existed in Kentville and current ones too. The concept for the mural is the history and development of a town, in this case Kentville, represented by the changing architecture. It is a whimsical nod to the past, present and future.</p>	#f0602c	brush	Mural	Mural	miyoshi_kondo.jpg	295880	a2616a914683801c9b2893cd805dded07f440612	miyoshi kondo.jpg	780	1213	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 18	45.080949385418	-64.4936875430283	<p><b>Artist:</b> Andrea Manica<br/><b>Site: </b>At the Belcher and Cornwallis intersection<br/><b>Year:</b> 2023</p><p>A bicyclist travels in a green area which reflects the surrounding space, and the trails along Miner&#x27;s Marsh. A large bird population gathers at the Marsh, too. Colourful circles on the sides of the box are an abstract representation of paths and continuing cycles of nature.</p>	#f0602c	brush	Mural	Mural	361160704_624687309636481_6014032663208414190_n.jpg	420296	08d1a372e39d41a9f671c512cd5e962f85675862	361160704_624687309636481_6014032663208414190_n.jpg	2048	2048	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 19	45.0785223185007	-64.4986616080127	<p><b>Artist:</b> Andrea Manica<br/><b>Site: </b>Barricades next to Fire Hall<br/><b>Year:</b> 2023</p><p>I sought inspiration from vintage Romanian tapestries for this mural. This is an ode to my family, as my Romanian grandparents and father immigrated to Canada and lived on the East Coast for many years before moving to Ontario. It is also fitting that these barricades sit adjacent to a hockey arena as my father is a huge hockey fan, and so was my grandfather.</p>	#f0602c	brush	Mural	Mural	361112759_1448081519350246_691799926509851250_n.jpg	313640	bdf9e9e9bcd8da8098d152ecb98353a2e9412039	361112759_1448081519350246_691799926509851250_n.jpg	1542	2048	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
Point 20	45.077282073704	-64.4954874660162	<p><b>Artist:</b> Andrea Manica<br/><b>Site:</b> 379 Main Street<br/><b>Year:</b> 2023</p><p>This piece shows the vibrancy of Centre Square. Blossoms and pumpkins represent the Apple Blossom and Harvest Festivals that take place in Kentville each year. The Square hosts musical jam nights and dog training sessions, which bring people (and pets) together. A table full of fresh market produce sits in the middle of the mural, as the square hosts farmers markets weekly. I wanted my piece to highlight how a dedicated public space can enrich and strengthen community.</p>	#f0602c	brush	Mural	Mural	361623204_695700865930963_5585190013476748371_n.jpg	897270	3624558924b68596aeb4805c515311f361ddab0a	361623204_695700865930963_5585190013476748371_n.jpg	1440	1440	None	None	None	None	<p></p>	None	None	False	None	None	None	None	None	None
